country,year,iso_code,population,gdp,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,methane,nitrous_oxide,total_ghg,ghg_per_capita
China,1990,CHN,1209725352.0,1223917000000.0,3085.52,2.551,2361.96,580.58,190.9,325.25,134.86,3545.63,2.931
China,1991,CHN,1215773979.0,1334069000000.0,3380.66,2.781,2579.3,632.81,210.07,359.12,157.64,3897.42,3.206
China,1992,CHN,1221852849.0,1454135000000.0,3872.41,3.169,2878.32,712.75,235.62,402.62,169.18,4444.21,3.637
China,1993,CHN,1227962113.0,1585008000000.0,4146.99,3.377,3092.25,776.59,251.88,439.51,183.06,4769.56,3.884
China,1994,CHN,1234101924.0,1727658000000.0,4503.28,3.649,3424.83,829.47,277.68,485.39,194.7,5183.38,4.2
China,1995,CHN,1240272433.0,1883147000000.0,4891.4,3.944,3629.58,896.05,306.85,534.91,219.76,5646.07,4.552
China,1996,CHN,1246473795.0,2052631000000.0,5166.32,4.145,3822.26,970.26,317.62,545.37,231.31,5943.0,4.768
China,1997,CHN,1252706164.0,2237367000000.0,5439.68,4.342,4157.29,1004.34,337.41,588.95,247.29,6275.91,5.01
China,1998,CHN,1258969695.0,2438731000000.0,5935.22,4.714,4406.68,1127.3,369.79,650.03,268.82,6854.07,5.444
China,1999,CHN,1265264544.0,2658216000000.0,6304.14,4.982,4820.34,1155.95,383.78,652.68,275.3,7232.12,5.716
China,2000,CHN,1271590866.0,2897456000000.0,6588.61,5.181,4734.84,1320.38,503.91,699.32,294.58,7582.51,5.963
China,2001,CHN,1277948821.0,3158227000000.0,6852.26,5.362,5020.97,1336.66,541.81,758.48,303.84,7914.59,6.193
China,2002,CHN,1284338565.0,3442467000000.0,7148.36,5.566,5231.37,1434.97,564.12,796.71,316.74,8261.81,6.433
China,2003,CHN,1290760258.0,3752289000000.0,7627.27,5.909,5417.85,1545.63,604.33,813.26,331.74,8772.28,6.796
China,2004,CHN,1297214059.0,4089995000000.0,7957.75,6.134,5690.36,1609.39,636.06,879.22,355.68,9192.65,7.086
China,2005,CHN,1303700129.0,4458095000000.0,8226.23,6.31,5963.4,1671.23,660.91,911.49,371.75,9509.47,7.294
China,2006,CHN,1310218630.0,4859323000000.0,8747.71,6.677,6258.04,1731.14,695.75,908.29,390.67,10046.67,7.668
China,2007,CHN,1316769723.0,5296662000000.0,9005.45,6.839,6451.38,1852.37,726.26,966.99,409.29,10381.73,7.884
China,2008,CHN,1323353572.0,5773362000000.0,9313.84,7.038,6544.89,1875.44,754.58,1035.91,426.47,10776.21,8.143
China,2009,CHN,1329970340.0,6292965000000.0,9859.25,7.413,7138.62,2033.19,806.11,1072.2,435.36,11366.81,8.547
China,2010,CHN,1336620191.0,6859331000000.0,10301.93,7.707,7452.19,2090.69,846.54,1067.46,447.98,11817.38,8.841
China,2011,CHN,1343303292.0,7476671000000.0,10664.94,7.939,7689.25,2144.41,897.89,1117.27,457.8,12240.01,9.112
China,2012,CHN,1350019809.0,8149572000000.0,8598.26,6.369,6059.59,1800.95,724.31,938.52,393.44,9930.22,7.356
China,2013,CHN,1356769908.0,8883033000000.0,8960.6,6.604,6463.53,1884.64,758.77,964.82,395.33,10320.75,7.607
China,2014,CHN,1363553757.0,9682506000000.0,9179.56,6.732,6365.88,1910.4,791.55,965.78,406.06,10551.4,7.738
China,2015,CHN,1370371526.0,10553932000000.0,9731.33,7.101,6790.74,1994.52,845.48,1049.73,416.38,11197.44,8.171
China,2016,CHN,1377223384.0,11503786000000.0,9878.21,7.173,7024.59,2039.2,873.45,1039.21,437.79,11355.21,8.245
China,2017,CHN,1384109501.0,12539126000000.0,10118.29,7.31,7116.57,2083.44,905.73,1063.48,437.36,11619.14,8.395
China,2018,CHN,1391030048.0,13667648000000.0,10071.76,7.241,7084.95,2130.7,879.47,1103.36,449.66,11624.77,8.357
China,2019,CHN,1397985198.0,14897736000000.0,10642.41,7.613,7346.93,2260.4,950.93,1159.68,458.38,12260.47,8.77
China,2020,CHN,1404975124.0,16238532000000.0,9985.39,7.107,6862.06,2147.95,917.13,1060.92,450.66,11496.97,8.183
China,2021,CHN,1412000000.0,17700000000000.0,11256.0,7.972,7857.55,2391.94,1016.05,1156.17,503.1,12915.26,9.147
United States,1990,USA,259335272.0,10837175000000.0,5100.1,19.666,1314.4,2308.18,1460.66,770.3,389.05,6259.46,24.137
United States,1991,USA,261409954.0,11108105000000.0,5248.97,20.079,1360.67,2404.53,1487.26,766.8,400.71,6416.48,24.546
United States,1992,USA,263501233.0,11385807000000.0,5322.65,20.2,1337.7,2385.86,1543.67,780.86,394.19,6497.7,24.659
United States,1993,USA,265609243.0,11670452000000.0,5444.72,20.499,1406.5,2495.19,1551.51,836.1,406.29,6687.1,25.176
United States,1994,USA,267734117.0,11962214000000.0,5508.02,20.573,1425.94,2523.97,1609.23,852.58,424.03,6784.63,25.341
United States,1995,USA,269875990.0,12261269000000.0,5551.04,20.569,1415.51,2504.8,1583.07,885.7,427.87,6864.61,25.436
United States,1996,USA,272034998.0,12567801000000.0,5870.18,21.579,1512.75,2705.45,1691.59,879.15,437.36,7186.69,26.418
United States,1997,USA,274211278.0,12881996000000.0,5738.7,20.928,1484.24,2591.1,1622.06,893.51,434.31,7066.52,25.77
United States,1998,USA,276404968.0,13204046000000.0,6004.12,21.722,1567.14,2780.31,1721.02,867.0,457.95,7329.08,26.516
United States,1999,USA,278616208.0,13534147000000.0,5876.57,21.092,1534.61,2726.47,1717.16,885.4,445.14,7207.11,25.868
United States,2000,USA,280845138.0,13872500000000.0,5999.38,21.362,1350.72,2624.36,1983.67,919.62,453.36,7372.36,26.251
United States,2001,USA,283091899.0,14219313000000.0,5889.72,20.805,1307.04,2621.57,1989.97,872.85,446.55,7209.12,25.466
United States,2002,USA,285356634.0,14574796000000.0,5928.15,20.775,1342.52,2645.93,1989.18,876.94,436.72,7241.81,25.378
United States,2003,USA,287639487.0,14939166000000.0,5833.76,20.281,1317.4,2620.02,1982.63,873.82,436.65,7144.23,24.837
United States,2004,USA,289940603.0,15312645000000.0,5735.06,19.78,1279.73,2557.61,1948.63,879.02,425.28,7039.36,24.279
United States,2005,USA,292260128.0,15695461000000.0,5504.17,18.833,1194.31,2441.34,1821.96,840.13,422.01,6766.32,23.152
United States,2006,USA,294598209.0,16087847000000.0,5353.79,18.173,1178.47,2321.58,1780.01,838.48,407.83,6600.09,22.404
United States,2007,USA,296954995.0,16490044000000.0,5789.98,19.498,1263.8,2585.09,1947.45,903.41,437.24,7130.64,24.013
United States,2008,USA,299330635.0,16902295000000.0,5572.23,18.616,1209.79,2464.02,1914.41,878.15,445.57,6895.95,23.038
United States,2009,USA,301725280.0,17324852000000.0,5504.48,18.243,1178.35,2457.54,1871.55,832.94,407.43,6744.85,22.354
United States,2010,USA,304139082.0,17757973000000.0,5174.22,17.013,1129.67,2312.63,1797.09,801.2,394.9,6370.32,20.945
United States,2011,USA,306572194.0,18201923000000.0,5012.39,16.35,1057.58,2213.81,1749.57,782.65,382.48,6177.52,20.15
United States,2012,USA,309024772.0,18656971000000.0,5011.44,16.217,1071.96,2212.71,1749.46,741.21,366.76,6119.41,19.802
United States,2013,USA,311496970.0,19123395000000.0,4666.15,14.98,993.06,2014.82,1603.49,694.94,347.36,5708.45,18.326
United States,2014,USA,313988946.0,19601480000000.0,4579.98,14.586,966.94,2013.67,1579.28,683.66,341.46,5605.09,17.851
United States,2015,USA,316500858.0,20091517000000.0,4229.74,13.364,878.23,1853.1,1495.42,658.9,317.88,5206.52,16.45
United States,2016,USA,319032864.0,20593805000000.0,4074.3,12.771,847.43,1791.58,1460.28,629.13,305.3,5008.73,15.7
United States,2017,USA,321585127.0,21108650000000.0,3816.26,11.867,789.57,1645.29,1358.77,608.46,297.74,4722.46,14.685
United States,2018,USA,324157808.0,21636366000000.0,3679.31,11.35,756.71,1613.34,1313.26,577.3,279.28,4535.89,13.993
